Id,Name,Description,Awards
1,Daniel Abebayehu,"Daniel Abebayehu | Daniel Abebayehu uses biomaterials and high-dimensional approaches to study immuno-stromal axes to determine avenues for intervention that prevent fibrosis and promote repair. The lab's specific areas of interest are in pulmonary injury and repair and modulating responses to biomaterials. The goal is to identify novel diagnostic an therapeutic approaches for pulmonary fibrosis, as well as leverage existing biomaterial platforms in order to improve outcomes for biomaterials that are used clinically. Funding for this work is primarily through the National Institutes of Health and the University of Virginia.","National Institutes of Health Mosaic Postdoctoral Scholar 2022-2023, University of Virginia National Institutes of Health NRSA NHLBI Ruth L. Kirchstein F32 Postdoctoral Fellow (2017-2019), Virginia Commonwealth University Initiative for Maximizing Student Development (IMSD) Predoctoral Fellow (2015-2017), University of Virginia Biomedical Engineering Department 2023 “Best Mentor” Teaching Award awarded by UVA BMES | 2024 “Most Inclusive Professor” Teaching Award awarded by UVA BMES | 2024 “Best Advocate for Graduate Students” Award by UVA GBMES, Keystone Symposia Keystone Fellow (2025),"
34,Jennifer West,"Jennifer L. West | Jennifer L. West, UVA Engineering's 14th Dean, has a formidable record of accomplishments spanning 30 years as a transformational researcher, award-winning teacher and mentor, inventor and entrepreneur. Her research focuses on the use of biomaterials, nanotechnology and tissue engineering, applying engineering approaches to studying biological problems and solving unmet medical needs, particularly in the fight against cancer. Dean West came to UVA from Duke University’s Pratt School of Engineering, where she was the Fitzpatrick Family University Distinguished Professor of Engineering and Associate Dean for Ph.D. Education, with appointments in biomedical engineering and mechanical engineering and materials science. She is a member of the National Academy of Engineering, the National Academy of Medicine, and the National Academy of Inventors, with 20 patents that have been licensed to ten different companies. One company, Nanospectra Biosciences Inc., co-founded by West, is running human clinical trials of a cancer therapy she invented. Her priorities as Dean of Engineering at UVA include building upon the school’s research trajectory, increasing experiential learning opportunities for students, and ensuring a clear pathway to entrepreneurship for faculty and students.","Member, National Academy of Medicine 2023, Member, National Academy of Inventors 2017, President's Circle Lecturer. National Academies of Science, Engineering and Medicine 2017, Member. National Academy of Engineering 2016, Capers and Marion McDonald Teaching and Research Award, Duke University Pratt School of Engineering 2016, Clemson Award, Society for Biomaterials 2015, 2016 Clemson Award, Society for Biomaterials 2015, ACS Editors' Choice Manuscript, ACS Journals 2015, Thomson Reuters Highly Cited Researcher in Materials Science, Thomson Reuters 2014, Admiral of the Texas Navy, Governor of Texas 2012, Best Discovery of 2003, Nanotechnology Now 2012, BioHouston's 2009 Women in Science Award 2012, CAREER Award, National Science Foundation 2012, Duncan Award for Outstanding Academic Achievement, Rice University 2012, Excellence in Research Mentorship Award, Rice University 2012, Fellow, Biomedical Engineering Society 2012, Frank Annunzio Award, Christopher Columbus Foundation 2012, HSEMB Outstanding Young Scientist Award 2012, Hershel M. Rich Invention Award, Rice University 2012, Inventor of the Year Award, State Bar of Texas 2012, J. M. Chance Prize for Excellence in Teaching, Rice University 2012, Most Cited Paper, Annual of Biomedical Engineering 2012, Most Highly Cited Papers, NanoLetters 2012, Nanotechnology Researchers of the Year, Small Times Magazine 2012, O'Donnell Award in Engineering, The Academy of Medicine, Engineering and Science of Texas 2012, Outstanding Faculty Associate. Weiss College, Rice University 2012, Outstanding Research in Drug Delivery Award. Cygnus-CRS 2012, Outstanding Younger Investigator Award. Society for Biomaterials 2012, Parke-Davis Atorvastatin Research Award 2012, Quantum Award. National Institute of Health, NIBIB 2012, Samuel Lunden Scholarship. Massachusetts Institute of Technology 2012, Secretariat Lecturer. American Chemical Society 2012, Tech Review TR 100 Most Innovative Young Scientists. MIT Technology Review 2012, University Fellow 2012, HHMI Professor. Howard Hughes Medical Institute 2006, Fellow, American Institute for Medical and Biological Engineering 2005, Young Investigator Award, Society for Biomaterials 2000,"
35,Aidong Zhang,"Aidong Zhang | Aidong Zhang's research focuses on developing machine learning approaches to interpretable and fair learning, concept-based learning, federated learning, generative AI and medical applications, such as diagnosis and monitoring of Alzheimer's Disease (AD) and AD-related dementias (ADRD). She also works on large language models for hypothesis generations for scientific discovery. Dr. Zhang is Thomas M. Linville Professor of Computer Science, with a joint appointment in the Department of Biomedical Engineering and School of Data Science at University of Virginia. Her research interests focus on machine learning, data mining, bioinformatics and health informatics.","Thomas M. Linville Endowed Professorship 2023, Fellow -- American Institute for Medical and Biological Engineering (AIMBE) 2021, ACM Fellow 2017, IEEE Fellow 2009, SUNY Distinguished Professor 2014, UB Distinguished Professor 2012, National Science Foundation CAREER Award 1998,"
36,Eli Zunder,"Eli Zunder | Eli Zunder analyzes stem cell fate using single cell mass cytometry and high-dimensional modeling of cell lineage trajectories. He received his Ph.D. in Biophysics from UCSF in 2009. There, he worked in Kevan Shokat’s lab studying the role of PI3K signaling in insulin response, cancer, and drug resistance.  Eli did his postdoc in Garry Nolan’s lab at Stanford University. There, he developed a cell barcoding method for mass cytometry that he used to study kinase inhibitor specificity across the human immune system, developed a graph-based mapping algorithm to track iPS cell reprogramming and identify early reprogramming intermediates, and applied these generalizable methods to map AML patient samples by prognosis and organism-level organization of the mouse immune system.",
37,Eric Anderson,"Eric Anderson | One area I focus on is building and validating models of chemical processes. Modern commercial software has made many parts of this task much easier, but proper use of commercial tools requires judgment about the inputs and the level of modeling detail, process-specific knowledge, and validation against real-world performance data.",
38,Jason Bates,"Jason Bates | Jason received his B.S. in Chemical Engineering at the University of Kansas in 2014 and his Ph.D. in Chemical Engineering at Purdue University in 2019. At Purdue, he studied the fundamental kinetic contributions of solvation and active site structure to dehydration reactions relevant to biomass upgrading using structurally well-defined Lewis acid and Brønsted acid zeolite catalysts. He was an NIH postdoctoral fellow at the University of Wisconsin–Madison in the Department of Chemistry, where he bridged the fields of thermal and electrocatalysis through studies of catalysts consisting of atomically dispersed metals incorporated into nitrogen-doped carbon.","18th International Congress on Catalysis Young Talent 2024, Virginia Space Grant Consortium New Investigator Award 2024, Gordon Research Conference on Catalysis Postdoc Poster Award 2022, UW–Madison Chemistry Graduate Student Faculty Liaison Committee Postdoc Mentor Award 2021, 2022, National Institutes of Health Ruth L. Kirschstein National Research Service Award 2020, Purdue College of Engineering Outstanding Research Award 2020,"
39,Camille Bilodeau,"Camille Bilodeau | Dr. Bilodeau received her B.S. and M.S. from Northwestern University and her Ph.D. from Rensselaer Polytechnic Institute, both in Chemical and Biological Engineering. During her Ph.D., she received the Lawrence Livermore Advanced Simulations and Computation Graduate Fellowship, through which she carried out research at Lawrence Livermore National Laboratory. Dr. Bilodeau was a postdoctoral researcher studying machine learning for molecular design in Klavs Jensen’s group in the Chemical Engineering department at MIT. She joined the University of Virginia as an assistant professor in Chemical Engineering and began her position in January 2023.","NSF CAREER Award 2025, RPI William N. Gill Prize for Excellence in Dissertation Research 2020, Lawrence Livermore National Laboratory: Advanced Simulations and Computation Fellow 2016-2020, GRC Water and Aqueous Solutions: Young Investigator Poster Award 2018, Preparative Chromatography Symposium Poster Award: First Place 2018, ACS Biotechnology Division: Best in BIOT Award 2018, Lawrence Livermore Student Symposium: Poster Award 2017, Three Minute Thesis: First Runner-Up Award 2017, Howard P. Isermann Fellow 2015-2016, Northwestern University: Dean’s Scholar 2010-2015,"
40,Liheng Cai,"Liheng Cai | My lab’s research lies at the interface of soft (bio)materials and biology. We seek to understand and control the interactions between soft (bio)materials and living systems to solve challenges in sustainability and health. We achieve this through a combination of experimental and theoretical approaches. Our core expertise includes polymers and soft matter, biomaterials, voxelated bioprinting, and additive manufacturing of soft and inorganic matter. Our research program is highly collaborative and interdisciplinary. The philosophy of our research is to identify and solve problems of both fundamental importance and practical value; this is often accomplished by working closely with experts from various fields.","Copenhaver Fellow 2025, Presidential Early Career Award for Scientists and Engineers (PECASE) Award 2025, NIH Maximizing Investigators’ Research Award (MIRA) 2024, ACS PMSE Early Investigator Award 2024, ACS Polymers Au Rising Star 2023, UVA Research Excellence Award 2023, ACS PRF Doctoral New Investigator Award 2020, NSF CAREER Award 2019, Harvard University Postdoctoral Award for Professional Development 2014, North Carolina Impact Award 2013, Chun-Tsung Scholar 2004,"
41,Robert Davis,"Robert J. Davis | Davis joined the faculty in Chemical Engineering at the University of Virginia in 1990 as an assistant professor, was promoted to associate professor in 1996, and full professor in 2002. Professor Davis also served as the Chair of Chemical Engineering at the University of Virginia from 2002 to 2011. He received the Wilhelm Award of the American Institute of Chemical Engineers, the Emmett Award of the North American Catalysis Society, the NSF Young Investigator Award, the DuPont Young Professor Award, the Union Carbide Innovation Recognition Award, and the UVa Rodman Scholars Award for Excellence in Teaching. Professor Davis has co-authored more than 170 publications, 1 patent and 1 textbook, entitled “Fundamentals of Chemical Reaction Engineering”.",","
42,William Epling,"William Epling | Bill received his PhD from the University of Florida in 1997 and his BS from Virginia Tech in 1992, both in Chemical Engineering. He followed a relatively unique career path that has given him a broad perspective in the field of environmental catalysis, including catalyst design, manufacture, characterization and application. This was gained by working across a spectrum of locations; a national lab (Pacific Northwest National Lab), a catalyst manufacturing company (EmeraChem), and an engine manufacturer (Cummins Inc) before he returned to academia (University of Waterloo, University of Houston and now University of Virginia). His research has most recently focused on diesel engine emissions reduction, catalyst degradation and how catalyst surfaces change with reaction conditions.",","
43,Roseanne Ford,"Roseanne M. Ford | Roseanne M. Ford is a Professor of Chemical Engineering at the University of Virginia. She holds a B.S. degree from the University of Delaware and a Ph.D. from the University of Pennsylvania, both in chemical engineering. She spent the spring of 1995 as a Visiting Professor at the University of Tennessee and Oak Ridge National Laboratory. In 2003 she was a visitor at the USGS in Boulder, CO and a Visiting Professor at EPFL in Lausanne, Switzerland. She recently completed a four-year term as department chair and was Associate Vice President for Research and Graduate Studies from 2004-2010. Professor Ford's research focus is on the transport of chemotactic bacteria in porous media and its impact on bioremediation. She was elected a fellow of the American Institute of Medical and Biological Engineering and was awarded the Cavaliers' Distinguished Teaching Professorship, which is the highest teaching award given at UVa. In 2016 she received the AIChE WIC Excellence in Mentoring Award.","AIChE Fellow 2024, William R. Kenan, Jr. Visiting Professorship for Distinguished Teaching, Princeton University 2017-2018, AIChE Women's Initiatives Committee's Mentorship Excellence Award 2016, Cavaliers' Distinguished Teaching Professorship 2011-2013, Thomas E. Hutchinson Faculty Award for dedication and excellence in teaching 2008, American Institute of Medical and Biological Engineering, Elected to College of Fellows 2005, University of Virginia President and Visitors' Prize for Scientific Research, Life Sciences 1996, Department of Energy, Environmental Restoration and Waste Management Program, Junior Faculty Award 1991,"
