ID,Name,Departments,Description
151,Ashish Venkat,CS,"Ashish Venkat is an Associate Professor in the Department of Computer Science at the University of Virginia, where he joined after obtaining a Ph.D. from UC San Diego. His research explores novel and cross-disciplinary hardware and software techniques to design secure systems that offer robust exploit mitigations, while maintaining high levels of performance, energy efficiency, and programmability. He is the recipient of NSF’s prestigious CAREER and CRII awards. His work has been published at top-tier venues such as ISCA, MICRO, ASPLOS, HPCA, IEEE Security and Privacy, and USENIX Security, and has received funding from NSF, DARPA, SRC, and Intel. His work has been recognized as an IEEE Micro Top Pick among all top-tier Computer Architecture Conference papers published in 2019, IEEE Design & Test Top Pick (twice) among all Hardware and Embedded Security papers published in Computer Architecture, Computer Security, and VLSI CAD conferences held in the last six years (in 2020 and 2021), best paper nominee at DATE 2023, and as the runner-up of the HPCA Best Paper Award in 2019. His dissertation research has been successfully ported and transferred to the Cloud Platforms division of the IBM Haifa Research Lab."
152,Anil Vullikanti,CS,"Anil Vullikanti is a Professor in the Dept of Computer Science and the Biocomplexity Institute. His research interests are broadly in the areas of randomized algorithms, combinatorial optimization, distributed computing, dynamical systems and network science, machine learning, and AI, and their applications to epidemiology, public health and modeling, analysis and protection of critical infrastructures."
153,Tianhao Wang,CS,"Differential Privacy, Machine Learning Privacy"
154,Hongning Wang,CS,"Machine Learning, Text Mining, Information Retrieval, Computational Statistics and Simulation/Statistical Modeling, Stochastic Modeling"
155,Wenxi Wang,CS,"I completed my Ph.D. at University of Texas at Austin under the supervision of Sarfraz Khurshid. During my Ph.D., I also closely collaborated with Kenneth McMillan and Darko Marinov. Prior to my Ph.D., I earned an MPhil (a research master's degree) from University of Melbourne, where I was supervised by Harald Søndergaard and Peter J. Stuckey."
156,Chen-Yu Wei,CS,"Chen-Yu Wei is an Assistant Professor in the Computer Science department at the University of Virginia. Before, he was a Postdoctoral Associate at MIT and a Research Fellow at the Simons Institute for the Theory of Computing."
157,David Wu,CS,"Applied and Theoretical Cryptography, Computer Security"
158,Matheus Xavier,CS,"Matheus is an Assistant Professor of Computer Science at the University of Virginia. His research interests include AI, Algorithmic Economics, and Security. He applies artificial intelligence, optimization, and theoretical computer science tools to create secure, transparent, and auditable platforms."
159,Jing Yang,CS;ECE,"Dr. Yang is an Associate Professor in the Department of Electrical and Computer Engineering at the University of Virginia, with a secondary appointment (by courtesy) in the Department of Computer Science. Previously, She was an Assistant and then tenured Associate Professor at the Pennsylvania State University. She received her B.S. from the University of Science and Technology of China (USTC), and M.S. and PhD degrees from the University of Maryland, College Park, all in Electrical Engineering."
160,Xinyao Yi,CS,"Xinyao Yi is an assistant professor in the Department of Computer Science. Her research includes high-performance computing, with a particular interest in performance optimization and analysis. Her work also involves computer architecture and compilers."
161,Zhe Zeng,CS,"Zhe Zeng is an assistant professor in the Department of Computer Science. Prior to that, she was a Faculty Fellow in the Computer Science Department at New York University, working with Andrew Gordon Wilson. She received her Ph.D. in Computer Science at the University of California, Los Angeles, in 2024 under the supervision of Guy Van den Broeck. She received the Amazon Doctoral Student Fellowship in 2022 and the NEC Student Research Fellowship in 2021, and was selected for the Rising Stars in EECS in 2023."
162,Miaomiao Zhang,CS;ECE,Professor Zhang completed her PhD in computer science at the University of Utah. She was a postdoctoral associate in the Computer Science and Artificial Intelligence Laboratory (CSAIL) at the Massachusetts Institute of Technology. Professor Zhang received the Medical Image Computing and Computer Assisted Intervention (MICCAI) young scientist award in 2014 and was a runner-up for the young scientist award in 2016. She has been a member of MICCAI society and an area chair for MICCAI since 2018. She is also an active area chair for International Symposium on Biomedical Imaging (ISBI) and Medical Imaging with Deep Learning (MIDL).
163,Shangtong Zhang,CS,"Shangtong Zhang is an Alf Weaver Assistant Professor in the Department of Computer Science at the University of Virginia, directing the Sequential Intelligence Lab (SIL). His research focuses on both theoretical and empirical aspects of reinforcement learning, resulting in multiple scholarly articles in major AI venues, e.g., JMLR, NeurIPS, ICML, and ICLR. He also regularly serves as Area Chair in major AI venues, e.g., NeurIPS, ICML, ICLR, Senior Area Chair in RL Conference, and panelists for major federal funding agencies, e.g., NSF. He and his research are recognized by multiple awards and honors, including best paper awards at ICML workshop and AAMAS, NSF CAREER Award, AAAI New Faculty Highlights, Rising Star in AI, and IFAAMAS Victor Lesser Dissertation Award. He obtained his DPhil at the University of Oxford, MSc at the University of Alberta, and BSc at Fudan University."
